REPORTING_RANGE,COURSE_OFFERING_SEMESTER,INSTRUCTOR,PRIMARY_INSTRUCTOR,CRN,SUBJECT,COURSE_NUMBER,COURSE_SECTION_NUMBER,COURSE_TITLE_SHORT,COURSE_TITLE_LONG,COURSE_COLLEGE,COURSE_COLLEGE_DESC,STUDENT_NAME,STUDENT_ID,STUDENT_COLLEGE,STUDENT_COLLEGE_DESC,STUDENT_CLASSIFICATION_DESC,MAJOR_DESC,REGISTRATION_STATUS_DESC,FINAL_GRADE
Fall 2018 - Fall 2023,Spring 2020,V,Y,60834,SPAN,1312,7,SPANISH II (INTRODUCTORY),,HM,School of Arts and Humanities,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,P
Fall 2018 - Fall 2023,Fall 2020,V,Y,40076,BIED,3340,1,BILINGUAL ELEM CURRICULUM,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A+
Fall 2018 - Fall 2023,Fall 2020,W,Y,40080,EDUC,2331,1,LEARNING PROCESSES & EVAL,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Fall 2020,W,Y,40087,EDUC,4338,1,CURRICULUM & EVAL - ELEMENTARY,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Fall 2020,W,Y,40132,READ,4343,2,CONTENT AREA LITERACY,CONTENT AREA LITERACY - ELEMENTARY,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,W,Y,60028,EDUC,4360,1,STUDENT TEACH SEMINAR-ELEM,,ED,School of Human Devel and Educ,I,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,W,Y,60029,EDUC,4361,1,STUDENT TEACHING INTERNSHIP,,ED,School of Human Devel and Educ,J,1240976,ED,School of Human Devel and Educ,Senior,Interdisciplinary Studies,Web Registered,A
Fall 2018 - Fall 2023,Spring 2021,X,Y,60090,HIST,2321,1,WORLD CIVILIZATION: PRE-MODERN,,BS,School of Behavior-Social Sci,J,1281942,MB,Bill Munday School of Business,Junior,Finance,Admin Registered,A
Fall 2018 - Fall 2023,Spring 2021,X,Y,60417,PHIL,2329,5,ETHICAL ANALYSIS,,HM,School of Arts and Humanities,J,1281942,MB,Bill Munday School of Business,Junior,Finance,Admin Registered,B-
Fall 2018 - Fall 2023,Spring 2021,X,Y,60434,RELS,1315,1,BASIC CHRISTIAN QUESTIONS,,HM,School of Arts and Humanities,J,1281942,MB,Bill Munday School of Business,Junior,Finance,Admin Registered,A
Fall 2018 - Fall 2023,Spring 2021,Y,Y,60871,BUSI,3330,1,BUSINESS COMMUNICATION,,MB,Bill Munday School of Business,J,1281942,MB,Bill Munday School of Business,Junior,Finance,Admin Registered,A
Fall 2018 - Fall 2023,Spring 2021,Y,Y,60724,MATH,1324,1,MATHEMATICS FOR BUSINESS,,NS,School of Natural Sciences,J,1281942,MB,Bill Munday School of Business,Junior,Finance,Admin Registered,C+
Fall 2018 - Fall 2023,Fall 2023,Y,Y,41050,HDED,1111,1,TOPPER PRIDE,,BS,School of Behavior-Social Sci,J,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,Y,Y,40566,BUSI,1301,3,INTRODUCTION TO BUSINESS,,MB,Bill Munday School of Business,J,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
Fall 2018 - Fall 2023,Fall 2023,Y,Y,40941,ASTR,1310,1,INTRODUCTION TO ASTRONOMY,,NS,School of Natural Sciences,J,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,B-
Fall 2018 - Fall 2023,Fall 2023,Y,Y,41074,MATH,124,2,SUPPORT FOR SUCCESS-BUSI MATH,,NS,School of Natural Sciences,K,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,P#
Fall 2018 - Fall 2023,Fall 2023,Z,Y,40477,MATH,1324,5,MATHEMATICS FOR BUSINESS,,NS,School of Natural Sciences,K,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,C
Fall 2018 - Fall 2023,Fall 2023,Z,Y,40031,FSEM,1413,4,FR SEMINAR: TEACHING,TEACHING: RE-LEARNING HOW YOU THINK,UP,General Education,K,1312749,MB,Bill Munday School of Business,Freshman,Business Administration,Admin Registered,A
